indexNumber,indexName,speicesNumber,speciesName,X,Y
0,l2nr005.jpg,67,Acer,1291,32
0,l2nr005.jpg,67,Acer,1300,146
0,l2nr005.jpg,67,Acer,1363,226
0,l2nr005.jpg,67,Acer,1456,322
0,l2nr005.jpg,67,Acer,1583,373
0,l2nr005.jpg,67,Acer,1566,497
0,l2nr005.jpg,67,Acer,1544,636
0,l2nr005.jpg,67,Acer,1626,574
0,l2nr005.jpg,67,Acer,1741,565
0,l2nr005.jpg,67,Acer,1937,554
0,l2nr005.jpg,67,Acer,2002,528
0,l2nr005.jpg,67,Acer,1984,651
0,l2nr005.jpg,67,Acer,2060,736
0,l2nr005.jpg,67,Acer,2034,797
0,l2nr005.jpg,67,Acer,2061,959
0,l2nr005.jpg,67,Acer,2168,988
0,l2nr005.jpg,67,Acer,2098,1025
0,l2nr005.jpg,67,Acer,2049,1071
0,l2nr005.jpg,67,Acer,2002,1136
0,l2nr005.jpg,67,Acer,1911,1222
0,l2nr005.jpg,67,Acer,1966,1335
0,l2nr005.jpg,67,Acer,2136,1413
0,l2nr005.jpg,67,Acer,2061,1434
0,l2nr005.jpg,67,Acer,2019,1441
0,l2nr005.jpg,67,Acer,1962,1470
0,l2nr005.jpg,67,Acer,1904,1515
0,l2nr005.jpg,67,Acer,1860,1572
0,l2nr005.jpg,67,Acer,1857,1659
0,l2nr005.jpg,67,Acer,1769,1663
0,l2nr005.jpg,67,Acer,1642,1676
0,l2nr005.jpg,67,Acer,1588,1752
0,l2nr005.jpg,67,Acer,1610,1866
0,l2nr005.jpg,67,Acer,1571,1838
0,l2nr005.jpg,67,Acer,1504,1806
0,l2nr005.jpg,67,Acer,1426,1790
0,l2nr005.jpg,67,Acer,1350,1786
0,l2nr005.jpg,67,Acer,1267,1707
0,l2nr005.jpg,67,Acer,1167,1630
0,l2nr005.jpg,67,Acer,1111,1594
0,l2nr005.jpg,67,Acer,1047,1594
0,l2nr005.jpg,67,Acer,940,1633
0,l2nr005.jpg,67,Acer,827,1681
0,l2nr005.jpg,67,Acer,744,1682
0,l2nr005.jpg,67,Acer,662,1673
0,l2nr005.jpg,67,Acer,510,1745
0,l2nr005.jpg,67,Acer,561,1632
0,l2nr005.jpg,67,Acer,654,1602
0,l2nr005.jpg,67,Acer,732,1578
0,l2nr005.jpg,67,Acer,708,1503
0,l2nr005.jpg,67,Acer,666,1488
0,l2nr005.jpg,67,Acer,602,1527
0,l2nr005.jpg,67,Acer,656,1563
0,l2nr005.jpg,67,Acer,567,1555
0,l2nr005.jpg,67,Acer,471,1546
