indexNumber,indexName,speicesNumber,speciesName,X,Y
0,l2nr005.jpg,67,Acer,1291,32
0,l2nr005.jpg,67,Acer,1298,125
0,l2nr005.jpg,67,Acer,1327,204
0,l2nr005.jpg,67,Acer,1411,233
0,l2nr005.jpg,67,Acer,1480,338
0,l2nr005.jpg,67,Acer,1583,373
0,l2nr005.jpg,67,Acer,1569,463
0,l2nr005.jpg,67,Acer,1556,584
0,l2nr005.jpg,67,Acer,1553,668
0,l2nr005.jpg,67,Acer,1639,544
0,l2nr005.jpg,67,Acer,1741,565
0,l2nr005.jpg,67,Acer,1911,566
0,l2nr005.jpg,67,Acer,2011,506
0,l2nr005.jpg,67,Acer,1990,564
0,l2nr005.jpg,67,Acer,1989,662
0,l2nr005.jpg,67,Acer,2060,736
0,l2nr005.jpg,67,Acer,2038,779
0,l2nr005.jpg,67,Acer,2027,903
0,l2nr005.jpg,67,Acer,2157,976
0,l2nr005.jpg,67,Acer,2151,996
0,l2nr005.jpg,67,Acer,2098,1025
0,l2nr005.jpg,67,Acer,2057,1063
0,l2nr005.jpg,67,Acer,2020,1109
0,l2nr005.jpg,67,Acer,1978,1158
0,l2nr005.jpg,67,Acer,1900,1239
0,l2nr005.jpg,67,Acer,1966,1335
0,l2nr005.jpg,67,Acer,2107,1399
0,l2nr005.jpg,67,Acer,2082,1428
0,l2nr005.jpg,67,Acer,2043,1434
0,l2nr005.jpg,67,Acer,1997,1443
0,l2nr005.jpg,67,Acer,1962,1470
0,l2nr005.jpg,67,Acer,1916,1506
0,l2nr005.jpg,67,Acer,1876,1544
0,l2nr005.jpg,67,Acer,1843,1602
0,l2nr005.jpg,67,Acer,1861,1673
0,l2nr005.jpg,67,Acer,1769,1663
0,l2nr005.jpg,67,Acer,1688,1668
0,l2nr005.jpg,67,Acer,1605,1703
0,l2nr005.jpg,67,Acer,1590,1803
0,l2nr005.jpg,67,Acer,1611,1885
0,l2nr005.jpg,67,Acer,1571,1838
0,l2nr005.jpg,67,Acer,1525,1810
0,l2nr005.jpg,67,Acer,1452,1797
0,l2nr005.jpg,67,Acer,1391,1785
0,l2nr005.jpg,67,Acer,1332,1774
0,l2nr005.jpg,67,Acer,1267,1707
0,l2nr005.jpg,67,Acer,1194,1648
0,l2nr005.jpg,67,Acer,1125,1602
0,l2nr005.jpg,67,Acer,1066,1590
0,l2nr005.jpg,67,Acer,1019,1603
0,l2nr005.jpg,67,Acer,940,1633
0,l2nr005.jpg,67,Acer,851,1668
0,l2nr005.jpg,67,Acer,749,1721
0,l2nr005.jpg,67,Acer,729,1673
0,l2nr005.jpg,67,Acer,590,1674
0,l2nr005.jpg,67,Acer,510,1745
0,l2nr005.jpg,67,Acer,540,1640
0,l2nr005.jpg,67,Acer,610,1629
0,l2nr005.jpg,67,Acer,659,1577
0,l2nr005.jpg,67,Acer,758,1573
0,l2nr005.jpg,67,Acer,708,1503
0,l2nr005.jpg,67,Acer,688,1477
0,l2nr005.jpg,67,Acer,618,1501
0,l2nr005.jpg,67,Acer,606,1527
0,l2nr005.jpg,67,Acer,642,1570
0,l2nr005.jpg,67,Acer,567,1555
0,l2nr005.jpg,67,Acer,495,1548
0,l2nr005.jpg,67,Acer,370,1548
0,l2nr005.jpg,67,Acer,386,1462
0,l2nr005.jpg,67,Acer,346,1407
0,l2nr005.jpg,67,Acer,297,1360
0,l2nr005.jpg,67,Acer,240,1338
0,l2nr005.jpg,67,Acer,148,1329
0,l2nr005.jpg,67,Acer,246,1285
0,l2nr005.jpg,67,Acer,355,1192
0,l2nr005.jpg,67,Acer,373,1079
0,l2nr005.jpg,67,Acer,320,1005
0,l2nr005.jpg,67,Acer,287,957
0,l2nr005.jpg,67,Acer,248,898
0,l2nr005.jpg,67,Acer,198,859
0,l2nr005.jpg,67,Acer,234,823
0,l2nr005.jpg,67,Acer,294,768
0,l2nr005.jpg,67,Acer,311,697
0,l2nr005.jpg,67,Acer,309,622
0,l2nr005.jpg,67,Acer,330,582
0,l2nr005.jpg,67,Acer,372,464
0,l2nr005.jpg,67,Acer,341,370
0,l2nr005.jpg,67,Acer,431,444
0,l2nr005.jpg,67,Acer,424,436
0,l2nr005.jpg,67,Acer,556,468
